1000 10000
977 69 97
141 517 75
319 849 92
698 218 50
601 978 42
334 251 48
416 503 35
923 854 33
37 590 82
775 283 9
35 514 37
406 964 61
365 62 46
411 167 71
839 843 75
344 410 53
257 764 71
968 358 99
902 63 25
122 969 94
713 475 89
321 78 58
857 293 7
45 398 6
121 503 85
210 195 100
402 635 11
666 740 100
633 485 70
688 90 36
641 873 77
959 86 26
75 235 12
352 269 97
831 544 31
920 681 35
42 253 31
748 469 99
192 933 11
470 87 84
114 154 55
843 761 75
889 387 42
277 549 88
780 991 53
499 543 67
627 451 96
769 133 59
476 437 18
472 759 57
34 458 15
373 225 76
439 107 58
399 316 23
634 805 18
223 577 69
693 432 27
642 859 41
316 591 40
359 195 13
877 236 6
132 543 40
793 972 6
780 459 95
164 349 71
704 629 45
757 976 11
339 304 19
602 355 21
10 461 90
485 340 94
857 663 83
482 0 85
211 835 22
105 60 94
791 473 98
707 7 15
237 450 22
342 736 78
631 139 27
262 924 100
763 309 8
696 923 5
466 937 96
371 562 27
451 893 64
907 999 90
14 176 34
847 894 10
142 244 72
336 594 87
725 125 23
40 262 38
840 545 16
112 899 17
644 570 47
73 166 81
350 958 67
988 217 17
541 769 45
535 851 35
85 348 72
646 193 13
823 994 2
107 656 45
421 833 9
765 755 65
384 214 23
904 96 15
361 964 99
953 224 48
114 555 99
775 399 71
985 416 78
235 785 89
645 91 83
179 139 86
434 35 67
190 854 62
227 297 1
460 280 8
526 235 46
687 981 88
51 536 68
465 218 83
866 449 3
515 346 26
785 635 19
292 656 85
384 969 47
186 510 8
940 691 5
724 592 90
751 309 67
931 797 66
568 512 10
237 113 4
18 83 29
298 244 86
544 205 73
161 951 9
601 192 61
150 420 99
921 956 5
591 124 76
510 430 19
413 80 87
872 523 27
668 929 6
113 959 49
153 885 97
559 312 45
692 394 80
323 472 5
803 707 9
416 975 97
916 357 21
227 313 3
937 667 23
225 206 50
983 555 24
609 393 19
64 953 11
733 540 87
348 237 48
213 502 91
430 381 12
788 133 21
722 993 29
549 316 82
365 571 53
962 278 43
320 769 39
911 228 87
767 32 32
873 741 3
243 436 62
409 241 38
894 282 17
862 628 78
159 860 29
144 252 49
552 317 90
995 250 14
771 635 67
559 683 90
900 212 1
777 502 93
998 507 14
604 9 26
667 886 7
398 160 30
200 923 55
770 804 54
782 935 100
869 568 43
232 800 82
26 129 46
561 859 54
578 687 38
661 697 19
162 391 21
794 908 81
553 219 5
688 940 98
315 950 29
38 143 11
845 601 62
620 891 32
275 798 26
239 134 38
227 817 25
721 1 82
309 115 53
380 421 46
410 973 69
504 574 83
494 434 87
379 324 77
612 388 62
604 420 79
423 31 71
429 26 63
565 138 20
881 682 14
385 661 88
206 451 10
97 895 94
336 150 2
104 564 57
346 862 45
372 751 46
950 192 78
355 720 62
537 762 65
703 522 86
518 221 21
693 877 63
874 520 20
73 48 49
629 369 6
525 427 43
721 942 67
178 682 40
166 362 9
749 27 15
339 274 13
30 327 7
877 680 8
709 607 66
647 73 80
114 933 82
470 965 25
876 119 97
961 265 20
851 721 92
799 795 53
556 781 49
